日付, 国内政治イベント, ハッシュタグ, 備考
2013/12/6, 秘密保護法（特定秘密の保護に関する法律）国会成立, #特定秘密保護法 #秘密保護法 , 
2014/12/14, 第47回衆議院議員総選挙, #自民党#セクハラ#解散 #自民党#議員#野次 , 
2020/05/08, 安倍政権下での「検察庁法改正案」への抗議, #検察庁法改正案に抗議します, 400〜500万ツイート 結果廃案
2021/9/29, 自民党総裁選挙関連, ＃自民党総裁戦 ＃高市早苗さんを総理大臣に #高市早苗 , 9月17日告示29日投開票 https://www3.nhk.or.jp/news/html/20210929/k10013282211000.html
2021/9/29, 自民党総裁選挙に向けた野党の活動, ＃政権交代 ＃政権交代をはじめよう ＃生存のための政権交代 , 8月くらいから  https://mainichi.jp/articles/20210923/k00/00m/010/119000c
2022/08, 岸田政権下での第二次改造内閣, #杉田水脈氏の総務政務官起用に抗議します,
2022/09/11, 沖縄県知事選挙, #沖縄県知事選挙2022 #沖縄有事 #投票用紙にはサキマ #サキマ淳を沖縄県知事に #サキマ淳が沖縄を変える #全国から玉城デニーを応援しよう #玉城デニーをもう一度沖縄知事に #玉城デニーさんを支持します #玉城デニーを落選させよう, 玉城デニー候補 サキマ淳候補 結果玉城氏当選
2022/09/27, 安倍晋三氏国葬, #国葬 #国葬反対 #国葬中止 #閣議決定したら何でもありか #安倍晋三さんの国葬儀に賛成します #0927国葬反対大行動 #国葬反対 , 
2022, 日中国交正常化50周年事業（複数回イベントあり）, #日中友好50周年記念行事反対 #日中首脳会談反対,
2023, 愛知県知事選挙, #起きる会 #止める会 #山下俊輔 #山下しゅんすけ,
